CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE
00321975000111,Araforros Ind E Comercio De Perfilados Ltda Em Recuperacao Judicial,Industria | Indústria,2.Média,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Migração | Proposta,True,True,True,SESI + SENAI,2
00421822000146,Kinata Sorvetes Ltda.,Industria | Indústria,3.Pequena,Fabricação de sorvetes e outros gelados comestíveis,Proposta,True,True,True,SESI + SENAI,2
00482915000180,Dorgival Jose Da Silva,Industria | Indústria,4.Micro,Serrarias com desdobramento de madeira em bruto,Migração | Proposta,True,True,True,SESI + SENAI,2
00741946000109,Mineracao Costa Dourada Ltda,Industria | Indústria,3.Pequena,Fabricação de águas envasadas,Migração | Proposta,True,True,True,SESI + SENAI,2
01129810000105,Fundo Municipal De Educacao,Nao Industria | Não Indústria,4.Micro,Atividades de associações de defesa de direitos sociais,Migração | Proposta,True,True,True,SESI + SENAI,2
01336881000189,Armario Quarto E Cozinha Ind. E Com. Ltda,Industria | Indústria,4.Micro,Fabricação de móveis com predominância de madeira,Migração | Proposta,True,True,True,SESI + SENAI,2
01637593000164,Enord Engenharia Ltda,Industria | Indústria,1.Grande,Construção de edifícios,Migração,True,True,True,SESI + SENAI,2
01788792000173,Carmem Lucia De Souza Feitosa,Industria | Indústria,4.Micro,"Fabricação de móveis de outros materiais, exceto madeira e metal",Migração | Proposta,True,True,True,SESI + SENAI,2
02867678000100,Nip Global Ltda,Industria | Indústria,2.Média,Serviços de engenharia,Proposta,True,True,True,SESI + SENAI,2
02949016002114,Control Construcoes S.a,Industria | Indústria,1.Grande,Instalação e manutenção elétrica,Proposta,True,True,True,SESI + SENAI,2
03722728000115,Engenharq Ltda,Industria | Indústria,1.Grande,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
03746272000123,Sian Engenharia Ltda,Industria | Indústria,3.Pequena,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
03866223000124,Medradius Clinica De Medicina Nuclear E Radiologia De Maceio Ltda,Nao Industria | Não Indústria,2.Média,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",Migração | Proposta,True,True,True,SESI + SENAI,2
04493020000100,Concrenorte - Concreto Do Nordeste Ltda.,Industria | Indústria,3.Pequena,Fabricação de artefatos de cimento para uso na construção,Migração,True,True,True,SESI + SENAI,2
05383352000197,Celso Luiz Vidal De Negreiros Piatti,Industria | Indústria,4.Micro,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Proposta,True,True,True,SESI + SENAI,2
05439911000133,Usitec Servicos E Comercio Ltda,Industria | Indústria,4.Micro,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",Migração | Proposta,True,True,True,SESI + SENAI,2
05539303000109,Sorvetes Kinata Ltda,Industria | Indústria,4.Micro,Fabricação de sorvetes e outros gelados comestíveis,Proposta,True,True,True,SESI + SENAI,2
05582326000198,Elo Engenharia Ltda,Industria | Indústria,4.Micro,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
05612717000108,Energy Engenharia Ltda,Industria | Indústria,2.Média,Serviços de engenharia,Proposta,True,True,True,SESI + SENAI,2
05680391000156,Fsf Tecnologia S.a.,Industria | Indústria,2.Média,Serviços de comunicação multimídia - SCM,Proposta,True,True,True,SESI + SENAI,2
05925056000170,I. M. Da Silva Industria,Industria | Indústria,4.Micro,"Fabricação de especiarias, molhos, temperos e condimentos",Migração | Proposta,True,True,True,SESI + SENAI,2
06007841000107,Brandao E Torres Construcoes Ltda.,Industria | Indústria,2.Média,Construção de edifícios,Migração,True,True,True,SESI + SENAI,2
06143647000230,Techplast Industria E Comercio De Plasticos Ltda,Industria | Indústria,2.Média,Recuperação de materiais não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
06190387000172,Erisvaldo Luis Neto Ltda,Industria | Indústria,4.Micro,Fabricação de laticínios,Migração | Proposta,True,True,True,SESI + SENAI,2
06209606000118,Triunfo Pedras Ltda,Industria | Indústria,3.Pequena,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Proposta,True,True,True,SESI + SENAI,2
06351389000104,Naturalia Aguas Minerais Ltda,Industria | Indústria,4.Micro,Fabricação de águas envasadas,Migração | Proposta,True,True,True,SESI + SENAI,2
07246670000131,S. C. Do Carmo Confeccoes,Industria | Indústria,3.Pequena,Confecção de roupas íntimas,Migração | Proposta,True,True,True,SESI + SENAI,2
07250211000121,Panificacao Jeronimo Ltda,Industria | Indústria,3.Pequena,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Proposta,True,True,True,SESI + SENAI,2
07502493000107,Art Moveis Ltda,Industria | Indústria,4.Micro,Fabricação de móveis com predominância de madeira,Migração | Proposta,True,True,True,SESI + SENAI,2
07522191004430,Rip Servicos Industriais Ltda,Industria | Indústria,2.Média,Outras obras de engenharia civil não especificadas anteriormente,Proposta,True,True,True,SESI + SENAI,2
08511719000107,Frut S Industria E Comercio De Gelados De Alagoas Ltda,Industria | Indústria,2.Média,Fabricação de sorvetes e outros gelados comestíveis,Migração,True,True,True,SESI + SENAI,2
08611923000191,Irmaos Torres Ltda,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2
08650571000183,Mineracao Vale Verde Do Brasil Ltda.,Industria | Indústria,2.Média,Extração de minério de metais preciosos,Migração,True,True,True,SESI + SENAI,2
08656732000146,G De Almeida Oliveira,Industria | Indústria,4.Micro,"Fabricação de artefatos diversos de madeira, exceto móveis",Migração | Proposta,True,True,True,SESI + SENAI,2
08695037000193,Gold Cafes Ltda,Industria | Indústria,4.Micro,Torrefação e moagem de café,Migração | Proposta,True,True,True,SESI + SENAI,2
08943210000125,Silvano Lazaro Da Silva Ltda,Industria | Indústria,4.Micro,Fabricação de sorvetes e outros gelados comestíveis,Migração,True,True,True,SESI + SENAI,2
09066964000107,Alianca Construcoes Ltda,Industria | Indústria,2.Média,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
09318807000141,Industria E Comercio De Pedras Jidearts Ltda,Industria | Indústria,4.Micro,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Migração,True,True,True,SESI + SENAI,2
10145486000100,Plastmarc Comercio E Industria De Material Plastico Ltda,Industria | Indústria,3.Pequena,Recuperação de materiais plásticos,Proposta,True,True,True,SESI + SENAI,2
10695076000132,Souza & Souza Ltda,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2
10887669000109,Kiola Industria E Comercio Ltda,Industria | Indústria,4.Micro,Fabricação de sabões e detergentes sintéticos,Migração | Proposta,True,True,True,SESI + SENAI,2
10918657000196,Leao Nordeste Industria E Comercio De Plasticos Ltda,Industria | Indústria,3.Pequena,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
10925899000107,Madeiras Do Brasil Ltda,Nao Industria | Não Indústria,3.Pequena,Comércio varejista de madeira e artefatos,Migração | Proposta,True,True,True,SESI + SENAI,2
11069316000318,Tubos Tigre-ads Do Brasil Limitada,Industria | Indústria,3.Pequena,Fabricação de tubos e acessórios de material plástico para uso na construção,Migração | Proposta,True,True,True,SESI + SENAI,2
